description,images,purchaseLink,aesthetic,seasonalColors,occasions,kibbeTypes,upvotes,downvotes,ownerId
Etta Iris Silk Blend Maxi Dress,https://images.allsaints.com/products/600/WD087X/5061/WD087X-5061-1.jpg,https://www.us.allsaints.com/women/dresses/allsaints-etta-iris-dress/?colour=5061&category=692,Goth / Grunge / Punk,"True Autumn, Dark Autumn","Casual, Clubbing",Supermodel,19,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Balfern Gold Leather Biker Jacket,https://images.allsaints.com/products/600/WL154W/5108/WL154W-5108-1.jpg,https://www.us.allsaints.com/women/leather/allsaints-balfern-biker-wl154w/?colour=5108&category=692,Goth / Grunge / Punk,"Dark Winter, Bright Winter","Casual, Clubbing",Boss,7,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Sara Lace Maxi Dress,https://images.allsaints.com/products/600/WD045X/7950/WD045X-7950-1.jpg,https://www.us.allsaints.com/women/dresses/allsaints-sara-dress/?colour=7950&category=692,Goth / Grunge / Punk,"Dark Winter, Bright Winter","Casual, Clubbing",Supermodel,8,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Toni Iris Silk Blend Shirt,https://images.allsaints.com/products/1600/WH013X/5061/WH013X-5061-1.jpg,https://www.us.allsaints.com/women/tops-and-shirts/allsaints-toni-iris-shirt/?colour=5061&category=692,Artsy,"True Autumn, Dark Autumn","Casual, Date",Supermodel,25,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Uptown Stripe Pullover,https://images.urbndata.com/is/image/FreePeople/61533188_001_g?$cat-tile-preset$,https://www.freepeople.com/shop/uptown-stripe-pullover/?category=womens-clothes&color=001,Indie,"True Autumn, Soft Autumn","Festival, Lounge",Supermodel,21,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Swim Too Deep Cardi,https://images.urbndata.com/is/image/FreePeople/63560858_001_d?$cat-tile-preset$,https://www.freepeople.com/shop/swim-too-deep-cardi/?category=womens-clothes&color=001,Indie,"Dark Winter, Dark Autumn","Festival, Lounge",Supermodel,43,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Quinn Pants,https://images.urbndata.com/is/image/FreePeople/61604419_020_a?$cat-tile-preset$,https://www.freepeople.com/shop/quinn-pants2/?category=womens-clothes&color=020,Artsy,"Dark Autumn, Soft Autumn","Festival, Lounge",Supermodel,15,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Seamless Turtleneck Bodysuit,https://images.urbndata.com/is/image/FreePeople/43606060_005_a?$cat-tile-preset$,https://www.freepeople.com/shop/seamless-turtleneck-bodysuit/?category=womens-clothes&color=005,Academia / Preppy,"Soft Summer, True Summer","Clubbing, Smart Casual",Vixen,47,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
CRVY Selena Slim Leg One-Piece,https://images.urbndata.com/is/image/FreePeople/78014891_001_a?$cat-tile-preset$,,Insta Baddie / Y2K,"Dark Winter, True Winter","Clubbing, Smart Casual",Feline,1,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
CRVY 2nd Ave Printed One Piece,https://images.urbndata.com/is/image/FreePeople/67149179_038_a?$cat-tile-preset$,https://www.freepeople.com/shop/crvy-2nd-ave-printed-one-piece/?category=womens-clothes&color=038,Indie,"Soft Autumn, True Autumn","Festival, Date",Queen,5,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Martha Lace Jeans,https://images.urbndata.com/is/image/FreePeople/66970971_047_a?$cat-tile-preset$,https://www.freepeople.com/shop/martha-lace-jeans/?category=womens-clothes&color=047,Indie,"Dark Autumn, Soft Autumn","Festival, Clubbing",Supermodel,20,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
SKY & SPARROW Womens Rib Notch Cut Tank Top,https://www.tillys.com/on/demandware.static/-/Sites-master-catalog/default/dwad81052c/tillys/images/catalog/1000x1000/443129100.jpg,https://www.tillys.com/product/sky-sparrow-womens-rib-notch-cut-tank-top-/443129100.html?dwvar_443129100_color=100&cgid=womens,Insta Baddie / Y2K,"Dark Winter, True Winter","Casual, Clubbing",Vixen,49,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
BODY GLOVE Womens Cargo Pants,https://www.tillys.com/on/demandware.static/-/Sites-master-catalog/default/dw4e29ed18/tillys/images/catalog/1000x1000/431612210.jpg,https://www.tillys.com/product/body-glove-womens-cargo-pants-/431612210.html?dwvar_431612210_color=210&cgid=womens,Insta Baddie / Y2K,"True Autumn, Dark Autumn","Casual, Festival",Supermodel,9,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
RSQ Womens Raw Edge Corduroy Shacket,https://www.tillys.com/on/demandware.static/-/Sites-master-catalog/default/dw8a7bf469/tillys/images/catalog/1000x1000/438124151.jpg,https://www.tillys.com/product/rsq-womens-raw-edge-corduroy-shacket-/438124151.html?dwvar_438124151_color=151&cgid=womens,Academia / Preppy,"Bright Spring, True Spring","Casual, Festival",Supermodel,42,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
RSQ High Rise Straight Leg Womens Jeans,https://www.tillys.com/on/demandware.static/-/Sites-master-catalog/default/dwfe14cc27/tillys/images/catalog/1000x1000/416794825.jpg,https://www.tillys.com/product/rsq-high-rise-straight-leg-womens-jeans/416794825.html?dwvar_416794825_color=825&cgid=womens,Goth / Grunge / Punk,"Bright Winter, True Winter","Casual, Festival",Supermodel,35,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
By Anthropologie Cable-Knit Sweater Vest,https://images.urbndata.com/is/image/Anthropologie/4114936640003_030_b?$an-category$&qlt=80&fit=constrain,https://www.anthropologie.com/shop/by-anthropologie-cable-knit-sweater-vest?category=clothes&color=030&type=STANDARD,Artsy,"Dark Winter, True Winter","Smart Casual, Holiday",Supermodel,34,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
