description,images,purchaseLink,aesthetic,seasonalColors,occasions,kibbeTypes,upvotes,downvotes,ownerId
Etta Iris Silk Blend Maxi Dress,https://images.allsaints.com/products/600/WD087X/5061/WD087X-5061-1.jpg,https://www.us.allsaints.com/women/dresses/allsaints-etta-iris-dress/?colour=5061&category=692,Goth / Grunge / Punk,"Dark Winter, Bright Winter","Casual, Clubbing",Flamboyant Natural,19,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Balfern Gold Leather Biker Jacket,https://images.allsaints.com/products/600/WL154W/5108/WL154W-5108-1.jpg,https://www.us.allsaints.com/women/leather/allsaints-balfern-biker-wl154w/?colour=5108&category=692,Goth / Grunge / Punk,"Dark Winter, Bright Winter","Casual, Clubbing",Flamboyant Natural,7,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Sara Lace Maxi Dress,https://images.allsaints.com/products/600/WD045X/7950/WD045X-7950-1.jpg,https://www.us.allsaints.com/women/dresses/allsaints-sara-dress/?colour=7950&category=692,Goth / Grunge / Punk,"Dark Winter, Bright Winter","Casual, Clubbing",Flamboyant Natural,8,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Frankie 3-In-1 Leather Crossbody Bag,https://images.allsaints.com/products/600/WB510X/5/WB510X-5-1.jpg,https://www.us.allsaints.com/women/handbags/allsaints-frankie-crossbody/?colour=5&category=692,Goth / Grunge / Punk,"Dark Winter, Bright Winter","Casual, Date",Flamboyant Natural,3,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Toni Iris Silk Blend Shirt,https://images.allsaints.com/products/1600/WH013X/5061/WH013X-5061-1.jpg,https://www.us.allsaints.com/women/tops-and-shirts/allsaints-toni-iris-shirt/?colour=5061&category=692,Artsy,"Dark Winter, Dark Autumn","Casual, Date",Flamboyant Natural,25,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Uptown Stripe Pullover,https://images.urbndata.com/is/image/FreePeople/61533188_001_g?$cat-tile-preset$,https://www.freepeople.com/shop/uptown-stripe-pullover/?category=womens-clothes&color=001,Indie,"True Autumn, Soft Autumn","Festival, Lounge",Flamboyant Natural,21,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Swim Too Deep Cardi,https://images.urbndata.com/is/image/FreePeople/63560858_001_d?$cat-tile-preset$,https://www.freepeople.com/shop/swim-too-deep-cardi/?category=womens-clothes&color=001,Indie,"Dark Winter, Dark Autumn","Festival, Lounge",Flamboyant Natural,43,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Quinn Pants,https://images.urbndata.com/is/image/FreePeople/61604419_020_a?$cat-tile-preset$,https://www.freepeople.com/shop/quinn-pants2/?category=womens-clothes&color=020,Artsy,"Dark Autumn, Soft Autumn","Festival, Lounge",Soft Natural,15,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Seamless Turtleneck Bodysuit,https://images.urbndata.com/is/image/FreePeople/43606060_005_a?$cat-tile-preset$,https://www.freepeople.com/shop/seamless-turtleneck-bodysuit/?category=womens-clothes&color=005,Academia / Preppy,"Dark Winter, Dark Autumn","Clubbing, Smart Casual",Soft Natural,47,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
CRVY Selena Slim Leg One-Piece,https://images.urbndata.com/is/image/FreePeople/78014891_001_a?$cat-tile-preset$,,Insta Baddie / Y2K,"Dark Winter, True Winter","Clubbing, Smart Casual",Soft Natural,1,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
CRVY 2nd Ave Printed One Piece,https://images.urbndata.com/is/image/FreePeople/67149179_038_a?$cat-tile-preset$,https://www.freepeople.com/shop/crvy-2nd-ave-printed-one-piece/?category=womens-clothes&color=038,Indie,"Dark Winter, Dark Autumn","Festival, Date",Soft Natural,5,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Martha Lace Jeans,https://images.urbndata.com/is/image/FreePeople/66970971_047_a?$cat-tile-preset$,https://www.freepeople.com/shop/martha-lace-jeans/?category=womens-clothes&color=047,Indie,"Dark Autumn, Soft Autumn","Festival, Clubbing",Soft Natural,20,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
FULL TILT Dancing Skeletons Womens Crewneck Sweatshirt,https://cdn-fsly.yottaa.net/57f4626c312e584b1a000020/www.tillys.com/v~4b.1fa.0.0/on/demandware.static/-/Sites-master-catalog/default/dw03c0394b/tillys/images/catalog/1000x1000/451241100.jpg?yocs=y_l_x_,https://www.tillys.com/product/full-tilt-dancing-skeletons-womens-crewneck-sweatshirt-/451241100.html?dwvar_451241100_color=100&cgid=womens,E-person,"Dark Winter, True Winter","Casual, Festival",Flamboyant Natural,31,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
FULL TILT Western Motiff Womens Oversized Tee,https://cdn-fsly.yottaa.net/57f4626c312e584b1a000020/www.tillys.com/v~4b.1fa.0.0/on/demandware.static/-/Sites-master-catalog/default/dw8bdfef4e/tillys/images/catalog/1000x1000/452882412.jpg?yocs=y_l_x_,https://www.tillys.com/product/full-tilt-western-motiff-womens-oversized-tee/452882412.html?dwvar_452882412_color=412&cgid=womens,Indie,"Soft Autumn, Dark Autumn","Casual, Festival",Flamboyant Natural,30,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
FULL TILT Nashville Tennesee Womens Oversized Tee,https://cdn-fsly.yottaa.net/57f4626c312e584b1a000020/www.tillys.com/v~4b.1fa.0.0/on/demandware.static/-/Sites-master-catalog/default/dwe2269456/tillys/images/catalog/1000x1000/447779100.jpg?yocs=y_l_x_,https://www.tillys.com/product/full-tilt-nashville-tennesee-womens-oversized-tee/447779100.html?dwvar_447779100_color=100&cgid=womens,Indie,"Soft Summer, True Summer","Casual, Festival",Flamboyant Natural,32,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
FULL TILT Happy Smiley Womens Hoodie,https://www.tillys.com/on/demandware.static/-/Sites-master-catalog/default/dw5f2aa267/tillys/images/catalog/1000x1000/445992600.jpg,https://www.tillys.com/product/full-tilt-happy-smiley-womens-hoodie/445992600.html?dwvar_445992600_color=600&cgid=womens,Indie,"Light Spring, True Spring","Casual, Festival",Flamboyant Natural,45,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
SKY & SPARROW Womens Rib Notch Cut Tank Top,https://www.tillys.com/on/demandware.static/-/Sites-master-catalog/default/dwad81052c/tillys/images/catalog/1000x1000/443129100.jpg,https://www.tillys.com/product/sky-sparrow-womens-rib-notch-cut-tank-top-/443129100.html?dwvar_443129100_color=100&cgid=womens,Insta Baddie / Y2K,"Dark Winter, True Winter","Casual, Clubbing",Flamboyant Natural,49,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
